station_id,level,sort_order,exercise_id,dose,primary_pillar,secondary_pillar,load,list,where_setting,best_with
run,Foundation,1,EX0001,"30–60 min, Zone 2",Aerobic Engine,Fatigue Management,Low,Core list,Outdoor or track,Solo OK
run,Foundation,2,EX0002,,Aerobic Engine,Fatigue Management,Low,Core list,Outdoor or track,Solo OK
run,Foundation,3,EX0003,6 × 20 s,Economy,Threshold,Low,Core list,Outdoor or track,Solo OK
run,Foundation,4,EX0004,,Economy,Balanced Athleticism,Low,Core list,Outdoor or track,Solo OK
run,Foundation,5,EX0005,,Balanced Athleticism,Durability,Low,Core list,Home or gym,Solo OK
run,Foundation,6,EX0006,Bodyweight,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,7,EX0007,,Balanced Athleticism,Durability,Low,Core list,Home or gym,Solo OK
run,Foundation,8,EX0008,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,9,EX0009,Low-level,Economy,Balanced Athleticism,Low,Core list,Home or gym,Solo OK
run,Foundation,10,EX0010,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,11,EX0011,1% incline,Aerobic Engine,,Low,Core list,Gym,Solo OK
run,Foundation,12,EX0012,Zone 2,Aerobic Engine,Fatigue Management,Low,Core list,Gym,Solo OK
run,Foundation,13,EX0013,3 × 1 min,Economy,Aerobic Engine,Low,Core list,Home or gym,Solo OK
run,Foundation,14,EX0014,,Economy,,Low,Core list,Outdoor or track,Solo OK
run,Foundation,15,EX0015,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,16,EX0016,Bodyweight,Balanced Athleticism,Durability,Low,Core list,Home or gym,Solo OK
run,Foundation,17,EX0017,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,18,EX0018,Short lever,Balanced Athleticism,,Moderate,Core list,Home or gym,Solo OK
run,Foundation,19,EX0019,,Balanced Athleticism,,Low,Core list,Home or gym,Solo OK
run,Foundation,20,EX0020,,Aerobic Engine,Fatigue Management,Low,Core list,Outdoor or track,Solo OK
run,Foundation,21,EX0021,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,22,EX0022,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,23,EX0023,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,24,EX0024,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,25,EX0025,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,26,EX0026,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,27,EX0027,,Balanced Athleticism,,Low,Added,Home or gym,Solo OK
run,Foundation,28,EX0028,Knee-to-wall,Balanced Athleticism,Fatigue Management,Low,Added,Home or gym,Solo OK
run,Foundation,29,EX0029,,Balanced Athleticism,Durability,Low,Added,Home or gym,Solo OK
run,Foundation,30,EX0030,Recovery,Fatigue Management,Aerobic Engine,Low,Added,Gym,Solo OK
run,Development,1,EX0031,20–30 min at threshold,Threshold,,Moderate,Core list,Outdoor or track,Solo OK
run,Development,2,EX0032,"5 × 1 km at threshold, 60 s rest",Threshold,,High,Core list,Outdoor or track,Solo OK
run,Development,3,EX0033,8 × 60 s,Threshold,Balanced Athleticism,High,Core list,Outdoor or track,Solo OK
run,Development,4,EX0034,75–100 min,Aerobic Engine,Durability,Moderate,Core list,Outdoor or track,Solo OK
run,Development,5,EX0035,Easy → steady → tempo,Aerobic Engine,Threshold,Moderate,Core list,Outdoor or track,Solo OK
run,Development,6,EX0036,5 × 3 min,Threshold,,High,Core list,Outdoor or track,Solo OK
run,Development,7,EX0037,30–40 min,Threshold,Aerobic Engine,Moderate,Core list,Outdoor or track,Solo OK
