id,station_id,sort_order,name,dose,session_type,primary_pillar,secondary_pillar,load,where_setting,best_with,courage
RS0001,run,1,1 km repeats at goal race pace,"8 × 1 km, 90 s rest",Race pace,Threshold,Durability,High,Outdoor or track,Solo OK,
RS0002,run,2,Run–station bricks,1 km + station × 4,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0003,run,3,1 km run off sled push,1 km,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0004,run,4,1 km run off sandbag lunges,1 km,Compromised (brick),Fatigue Management,Threshold,High,Outdoor or track,Solo OK,
RS0005,run,5,1 km run off farmers carry,"1 km, fatigued grip",Compromised (brick),Fatigue Management,Threshold,Moderate,Outdoor or track,Solo OK,
RS0006,run,6,Roxzone entry and exit drills,,Transition,Economy,,Low,Gym,Solo OK,
RS0007,run,7,Pace-lock 1 km,"Controlled first 200 m, hold goal split",Strategy & pacing,Economy,Threshold,Moderate,Outdoor or track,Solo OK,
RS0008,run,8,Tempo run with wall balls,30 wall balls every 1 km,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0009,run,9,Half race simulation,4 runs + 4 stations,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0010,run,10,Full race simulation,8 runs + 8 stations,Simulation,Durability,Threshold,High,Gym,Group,Race rehearsal
RS0011,run,11,1 km run off SkiErg,After 1000 m SkiErg,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0012,run,12,1 km run off row,After 1000 m row,Compromised (brick),Fatigue Management,Threshold,High,Gym,Solo OK,
RS0013,run,13,1 km run off burpee broad jumps,1 km,Compromised (brick),Fatigue Management,Threshold,High,Outdoor or track,Solo OK,
RS0014,run,14,Race-start rehearsal,Controlled first 1 km,Strategy & pacing,Economy,Fatigue Management,Moderate,Outdoor or track,Solo OK,Race rehearsal
RS0015,run,15,Lap-counting practice,Race course layout,Transition,Economy,,Low,Outdoor or track,Solo OK,
RS0016,run,16,Race-week sharpener,4 × 1 km at goal pace,Race prep,Threshold,Fatigue Management,Moderate,Outdoor or track,Solo OK,Race rehearsal
RS0017,run,17,Negative-split 1 km repeats,8 × 1 km,Race pace,Threshold,Durability,High,Outdoor or track,Solo OK,
RS0018,run,18,1 km repeats with station work as recovery,3 min station work between,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0019,run,19,Indoor venue surface run,,Race prep,Economy,,Low,Outdoor or track,Solo OK,Race rehearsal
RS0020,run,20,Fuelling practice during race simulation,,Race prep,Fatigue Management,Durability,Moderate,Gym,Solo OK,
RS0021,run,21,2 km finish run off row,After 2 km row (Paladin Endurance),Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0022,run,22,2 km repeats at goal pace,3 × 2 km,Race pace,Threshold,Durability,High,Outdoor or track,Solo OK,
RS0023,run,23,1 km build after a station,Easy → goal pace,Compromised (brick),Fatigue Management,Economy,Moderate,Gym,Solo OK,
RS0024,run,24,Treadmill 1 km repeats at race gradient,,Race pace,Threshold,Economy,High,Gym,Solo OK,
RS0025,run,25,Race-pace 1 km with surge,200 m surge,Race pace,Threshold,,High,Outdoor or track,Solo OK,Finish surge
RS0026,run,26,Heavy-leg long run,Lunges before and after,Compromised (brick),Durability,Aerobic Engine,High,Outdoor or track,Solo OK,
RS0027,run,27,RPE-only 1 km,"Pace by feel, no watch",Strategy & pacing,Economy,Threshold,Moderate,Outdoor or track,Solo OK,
RS0028,run,28,Weighted-vest 1 km repeats,Overload,Overload,Durability,Balanced Athleticism,High,Outdoor or track,Solo OK,Overload
RS0029,run,29,Race-morning shakeout rehearsal,,Race prep,Fatigue Management,Economy,Low,Outdoor or track,Solo OK,Race rehearsal
RS0030,run,30,Compromised 5 km,1 km run + 30 s of each station,Compromised (brick),Fatigue Management,Durability,High,Gym,Solo OK,
RS0031,shortrun,1,400 m repeats at race pace,"12 × 400 m, 60 s rest",Race pace,Threshold,Durability,High,Outdoor or track,Solo OK,
