id,name,movement_pattern,equipment,equipment_options,primary_pillar,secondary_pillar,where_setting,best_with
EX0001,Easy run,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Fatigue Management,Outdoor or track,Solo OK
EX0002,Run/walk intervals,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Fatigue Management,Outdoor or track,Solo OK
EX0003,Strides,Running,None (running),"[[""None (running)""]]",Economy,Threshold,Outdoor or track,Solo OK
EX0004,A-skips and B-skips,Running,None (running),"[[""None (running)""]]",Economy,Balanced Athleticism,Outdoor or track,Solo OK
EX0005,Single-leg calf raise,Lower leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0006,Split squat,Lunge / single-leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0007,Single-leg Romanian deadlift,Hinge,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0008,Glute bridge,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0009,Pogo hops,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0010,Dead bug,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0011,Easy treadmill run,Running,Treadmill,"[[""Treadmill""]]",Aerobic Engine,,Gym,Solo OK
EX0012,Easy bike or cross-trainer,Erg,BikeErg or Cross-trainer,"[[""BikeErg""], [""Cross-trainer""]]",Aerobic Engine,Fatigue Management,Gym,Solo OK
EX0013,Skipping rope,Plyometric,Skipping rope,"[[""Skipping rope""]]",Economy,Aerobic Engine,Home or gym,Solo OK
EX0014,High-knee and butt-kick drills,Running,None (running),"[[""None (running)""]]",Economy,,Outdoor or track,Solo OK
EX0015,Tibialis raise,Lower leg,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0016,Walking lunge,Lunge / single-leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0017,Side plank,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0018,Copenhagen plank,Core,Bodyweight + Bench,"[[""Bodyweight"", ""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0019,Banded hip flexor march,Core,Band,"[[""Band""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0020,Nasal-breathing easy run,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Fatigue Management,Outdoor or track,Solo OK
EX0021,Reverse lunge,Lunge / single-leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0022,Step-up,Lunge / single-leg,Box,"[[""Box""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0023,Lateral lunge,Lunge / single-leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0024,Single-leg glute bridge,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0025,Eccentric step-down,Lunge / single-leg,Box or Box + Dumbbell,"[[""Box""], [""Box"", ""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0026,Bird dog,Core,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0027,Pallof press,Core,Band or Cable machine,"[[""Band""], [""Cable machine""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0028,Ankle mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0029,Bent-knee (soleus) calf raise,Lower leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,Durability,Home or gym,Solo OK
EX0030,Deep-water running,Running,Pool,"[[""Pool""]]",Fatigue Management,Aerobic Engine,Gym,Solo OK
EX0031,Tempo run,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0032,Cruise intervals,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0033,Hill repeats,Running,None (running),"[[""None (running)""]]",Threshold,Balanced Athleticism,Outdoor or track,Solo OK
EX0034,Long run,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Durability,Outdoor or track,Solo OK
EX0035,Progression run,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Threshold,Outdoor or track,Solo OK
EX0036,VO2 intervals,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0037,Fartlek,Running,None (running),"[[""None (running)""]]",Threshold,Aerobic Engine,Outdoor or track,Solo OK
EX0038,Bulgarian split squat,Lunge / single-leg,Dumbbell or Barbell + Bench,"[[""Dumbbell""], [""Barbell"", ""Bench""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0039,Bounding,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0040,Nordic hamstring curl,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0041,Threshold run intervals,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0042,400 m repeats,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0043,800 m repeats,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0044,Double threshold day,Running,None (running),"[[""None (running)""]]",Threshold,Aerobic Engine,Outdoor or track,Solo OK
EX0045,Back-to-back weekend runs,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Durability,Outdoor or track,Solo OK
EX0046,Treadmill incline intervals,Running,Treadmill,"[[""Treadmill""]]",Threshold,Balanced Athleticism,Gym,Solo OK
EX0047,Trap-bar deadlift,Hinge,Trap bar,"[[""Trap bar""]]",Balanced Athleticism,,Gym,Solo OK
EX0048,Single-leg box jump,Plyometric,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0049,Sled sprint,Sled,Sled,"[[""Sled""]]",Economy,Balanced Athleticism,Gym,Solo OK
EX0050,Straight-leg calf raise,Lower leg,Machine or Dumbbell,"[[""Machine""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0051,Barbell reverse lunge,Lunge / single-leg,Barbell,"[[""Barbell""]]",Balanced Athleticism,,Gym,Solo OK
EX0052,Hip thrust,Hinge,Barbell + Bench,"[[""Barbell"", ""Bench""]]",Balanced Athleticism,,Gym,Solo OK
EX0053,Box jump,Plyometric,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0054,Lateral bounds,Plyometric,Bodyweight,"[[""Bodyweight""]]",Economy,Balanced Athleticism,Home or gym,Solo OK
EX0055,Depth jump,Plyometric,Box,"[[""Box""]]",Economy,Balanced Athleticism,Home or gym,Coach helpful
EX0056,Seated soleus raise,Lower leg,Machine,"[[""Machine""]]",Balanced Athleticism,,Gym,Solo OK
EX0057,Easy run with strides,Running,None (running),"[[""None (running)""]]",Aerobic Engine,Economy,Outdoor or track,Solo OK
EX0058,Wall drive drill,Running,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0059,Arm-swing drill,Running,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0060,High-knee march,Running,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0061,Calf raise,Lower leg,Bodyweight or Dumbbell,"[[""Bodyweight""], [""Dumbbell""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0062,200 m relaxed repeats,Running,None (running),"[[""None (running)""]]",Economy,Aerobic Engine,Outdoor or track,Solo OK
EX0063,Hip flexor mobility,Mobility,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,Fatigue Management,Home or gym,Solo OK
EX0064,Quick-feet cadence drill,Running,Bodyweight,"[[""Bodyweight""]]",Economy,,Home or gym,Solo OK
EX0065,Hamstring bridge walkout,Hinge,Bodyweight,"[[""Bodyweight""]]",Balanced Athleticism,,Home or gym,Solo OK
EX0066,200 m repeats,Running,None (running),"[[""None (running)""]]",Threshold,Economy,Outdoor or track,Solo OK
EX0067,Hill sprints,Running,None (running),"[[""None (running)""]]",Economy,Balanced Athleticism,Outdoor or track,Solo OK
EX0068,30/30 run intervals,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0069,Ladder run intervals,Running,None (running),"[[""None (running)""]]",Threshold,,Outdoor or track,Solo OK
EX0070,Flying sprints,Running,None (running),"[[""None (running)""]]",Economy,Balanced Athleticism,Outdoor or track,Solo OK
EX0071,Power clean,Olympic / power,Barbell,"[[""Barbell""]]",Balanced Athleticism,Economy,Gym,Coach helpful
EX0072,Easy SkiErg,Erg,SkiErg,"[[""SkiErg""]]",Aerobic Engine,Fatigue Management,Gym,Solo OK
EX0073,SkiErg arms-only drill,Erg,SkiErg,"[[""SkiErg""]]",Economy,,Gym,Solo OK
EX0074,SkiErg hinge-and-arms drill,Erg,SkiErg,"[[""SkiErg""]]",Economy,,Gym,Solo OK
EX0075,Straight-arm cable pulldown,Upper pull,Cable machine,"[[""Cable machine""]]",Balanced Athleticism,Economy,Gym,Solo OK
